id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
710007019,SCBCR63W94C021538,35998,Bentley,Continental,2004,36919.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Silver,Unavail,6-Speed Automatic,GT
709922907,SCBFR7ZA8CC070002,49999,Bentley,Continental,2012,75742.0,Flexible fuel,Not available,All Wheel Drive,12-Cylinder Turbo,Silver,Black,6-Speed Automatic,GT
709591352,SCBGH3ZA7EC095685,92500,Bentley,Continental,2014,29844.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,White,Unavail,8-Speed Automatic,GT V8 S
709452412,SJAAC2ZV2JC019463,97970,Bentley,Bentayga,2018,14715.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,White,Red,8-Speed Automatic,Not available
690628379,SJAAC2ZV0JC022037,135000,Bentley,Bentayga,2018,27858.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Gray,Beige,8-Speed Automatic,Not available
674673150,SCBGJ3ZA0GC051308,139000,Bentley,Continental,2016,2900.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Black,Red,8-Speed Automatic,GTC Speed
686371926,SCBBF7ZH8HC002942,139000,Bentley,Mulsanne,2017,14255.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,White,8-Speed Automatic,Not available
704526646,SJAAM4ZV2KC025239,143900,Bentley,Bentayga,2019,7880.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Red,Red,8-Speed Automatic,Not available
709816899,SJAAR2ZV1LC031332,155000,Bentley,Bentayga,2020,8207.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Silver,White,8-Speed Automatic,Speed
709837431,SCBGU3ZA8JC066234,155990,Bentley,Continental,2018,11146.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,White,Unavail,8-Speed Automatic,GT
695124620,SCBBF7ZH7HC002740,175000,Bentley,Mulsanne,2017,7500.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Blue,Beige,8-Speed Automatic,Not available
709540342,SCBCB2ZG4LC076913,190000,Bentley,Continental,2020,16296.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,White,Unavail,8-Speed Automatic,GT
710023595,SCBBR6ZG9NC096737,197000,Bentley,Flying Spur,2022,5200.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Not available,Not available,8-Speed Automatic,Plug-In Hybrid
694686701,SCBBB6ZG5LC080925,199700,Bentley,Flying Spur,2020,13000.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Blue,Blue,8-Speed Automatic,W12
699095248,SCBCG2ZG7LC075949,199950,Bentley,Continental,2020,12486.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Black,Black,8-Speed Automatic,GT V8
709759010,SCBBG6ZGXNC092184,199990,Bentley,Flying Spur,2022,12208.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,White,Unavail,8-Speed Automatic,V8
703768211,SCBDG4ZG8MC086881,210000,Bentley,Continental,2021,14820.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Blue,Beige,8-Speed Automatic,GT V8
705257714,SCBBR6ZG1NC096800,250000,Bentley,Flying Spur,2022,2000.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,White,Unavail,8-Speed Automatic,Plug-In Hybrid
709426118,SCBDG4ZG8PC005561,269900,Bentley,Continental,2023,4174.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Green,Not available,8-Speed Automatic,GT V8
681854558,SCBDG4ZG8NC098174,292935,Bentley,Continental,2022,2318.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Gold,White,8-Speed Automatic,GT V8
707123736,SCBCT2ZG5PC005240,295000,Bentley,Continental,2023,97.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Black,Black,8-Speed Automatic,GT Speed
710067082,SCBDG4ZG8RC012772,297130,Bentley,Continental,2024,120.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Silver,Unavail,8-Speed Automatic,GT V8
709809865,SCBDG4ZG7NC003605,299999,Bentley,Continental,2022,304.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,White,Unavail,8-Speed Automatic,GT V8
709622277,SJAHT2ZV9PC022173,302635,Bentley,Bentayga,2023,24.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Unknown,Unavail,8-Speed Automatic,Extended Wheelbase
671000789,SCBDT4ZGXNC001004,345000,Bentley,Continental,2022,315.0,Gasoline,Not available,All Wheel Drive,12-Cylinder Turbo,Red,Black,8-Speed Automatic,GT Speed
